X,Y,Label,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,NDVI,NDWI,ID,Label_ID
685988.7,1199696,Rice paddies,0.037655,0.043723334,0.084646389,0.060360834,0.370117784,0.186894447,0.087616391,0.719564021,-0.627734959,254,2
669842.6,1215859,Rice paddies,0.031242,0.035433002,0.068878502,0.049540501,0.313084006,0.175903007,0.081501,0.726767004,-0.639344156,255,2
670439.8,1202571,Rice paddies,0.057925556,0.06760861,0.100098334,0.114431947,0.344087511,0.331578046,0.20462583,0.500863314,-0.549295247,256,2
657979.7,1217225,Rice paddies,0.045596998,0.052416999,0.082606502,0.088001996,0.237079501,0.210244998,0.144888505,0.458585024,-0.483202308,257,2
669930.8,1202066,Rice paddies,0.057502143,0.067091785,0.097962499,0.117526785,0.265060365,0.313837498,0.204430714,0.385620862,-0.460295707,258,2
667557.3,1183437,Rice paddies,0.069933891,0.077746943,0.108143613,0.124279998,0.219161108,0.260301113,0.194032222,0.276266038,-0.339186966,259,2
690675.3,1196458,Rice paddies,0.034220938,0.040631875,0.067183122,0.061129689,0.184621871,0.103792503,0.05537875,0.502508223,-0.466387659,260,2
658104.0,1226085,Rice paddies,0.0244,0.031307999,0.064313501,0.0497825,0.319722503,0.1689675,0.085680999,0.730544984,-0.665065229,261,2
672904.3,1198007,Rice paddies,0.043000311,0.051380936,0.078929059,0.073587187,0.285148114,0.224321559,0.147276878,0.589741051,-0.566415727,262,2
672992.0,1207279,Rice paddies,0.03447875,0.041223124,0.069836877,0.053790625,0.337975621,0.161700621,0.086721875,0.725394249,-0.657504916,263,2
677597.6,1180706,Rice paddies,0.067609377,0.081311248,0.117233127,0.143904686,0.283267826,0.316814363,0.21425657,0.326245576,-0.41456756,264,2
691981.3,1198826,Rice paddies,0.036975358,0.042691428,0.071004644,0.051373571,0.299781084,0.16299215,0.082692146,0.70740205,-0.617004454,265,2
658937.7,1225940,Rice paddies,0.0161335,0.023063499,0.052653499,0.037864,0.249443501,0.103643999,0.0499475,0.736421764,-0.651413321,266,2
697435.2,1195638,Rice paddies,0.032469288,0.040200714,0.061517142,0.056633927,0.085964642,0.05321607,0.032198213,0.205687299,-0.165766239,267,2
677866.9,1178369,Rice paddies,0.058382142,0.070529282,0.100276425,0.123922497,0.25106287,0.310348928,0.209046781,0.339054227,-0.429176152,268,2
658556.9,1225549,Rice paddies,0.033304501,0.042417999,0.0733665,0.072821997,0.25041151,0.192799002,0.120275997,0.549415529,-0.546809912,269,2
658769.5,1222926,Rice paddies,0.029361,0.035504501,0.065540001,0.053087998,0.295726001,0.164881006,0.101202004,0.695608556,-0.637164831,270,2
692906.8,1190431,Rice paddies,0.045932502,0.053134061,0.07632,0.0873475,0.157073751,0.141821563,0.092187501,0.28527084,-0.3459979,271,2
690875.9,1196710,Rice paddies,0.033416945,0.03880389,0.064036667,0.052141391,0.339855552,0.169688612,0.076332219,0.733970404,-0.682902217,272,2
669878.9,1181268,Rice paddies,0.062418751,0.0741475,0.103844061,0.131450623,0.265963435,0.309093744,0.207395315,0.338470191,-0.438388586,273,2
671095.6,1187465,Rice paddies,0.023203749,0.030749062,0.059555311,0.046771251,0.17000562,0.085539378,0.045183126,0.568484843,-0.481137246,274,2
670641.1,1211157,Rice paddies,0.039875627,0.045210626,0.077694997,0.06301,0.361721873,0.210506245,0.106294997,0.703295112,-0.646372199,275,2
660436.8,1220082,Rice paddies,0.024565,0.0309285,0.061569002,0.045134999,0.361923993,0.144894004,0.066348501,0.778238595,-0.70923245,276,2
667858.8,1219674,Rice paddies,0.053269502,0.060733002,0.089140497,0.093634002,0.267461509,0.233790502,0.160508499,0.481389254,-0.500056088,277,2
670581.7,1203357,Rice paddies,0.037364721,0.046066944,0.079409167,0.074758612,0.327514172,0.227762505,0.129196391,0.628318787,-0.609709442,278,2
672096.6,1201609,Rice paddies,0.045251112,0.054246668,0.08911667,0.07792417,0.357333332,0.247492224,0.137846664,0.641939938,-0.600776494,279,2
660845.9,1218686,Rice paddies,0.062267501,0.069626503,0.09381,0.103721,0.213539496,0.26363349,0.194174007,0.346146137,-0.389554858,280,2
670582.1,1210214,Rice paddies,0.036960624,0.0433475,0.076870002,0.063986249,0.296815008,0.174199373,0.096291877,0.645310283,-0.588584006,281,2
660767.1,1216772,Rice paddies,0.04212375,0.049981873,0.081001878,0.072910003,0.302136242,0.207034379,0.112846874,0.611194551,-0.5771662,282,2
714931.9,1160500,Rice paddies,0.063711248,0.070503749,0.104273751,0.097556874,0.121956252,0.046461876,0.026380001,0.111152254,-0.078161605,283,2
682400.7,1177527,Rice paddies,0.069362499,0.078612812,0.107467189,0.130329996,0.254251868,0.295852512,0.202335313,0.322224945,-0.405797452,284,2
671856.0,1184972,Rice paddies,0.028518125,0.036383126,0.066371873,0.052834999,0.306226879,0.175835624,0.091224998,0.705705404,-0.643735349,285,2
704350.1,1195601,Rice paddies,0.067430168,0.075271331,0.102811664,0.104765996,0.251065999,0.22754617,0.154310003,0.411149114,-0.418942332,286,2
649753.6,1214366,Rice paddies,0.018975625,0.023568125,0.0508825,0.032340623,0.335088134,0.128645629,0.057166249,0.82396251,-0.736340106,289,2
657703.3,1223792,Rice paddies,0.034580499,0.043985501,0.075451002,0.073294997,0.306500494,0.203051001,0.1234385,0.614029109,-0.604918361,290,2
673481.9,1211066,Rice paddies,0.043430001,0.049546,0.079768501,0.066821501,0.308898509,0.209084496,0.108857997,0.644301593,-0.589527786,291,2
683566.9,1178703,Rice paddies,0.034248929,0.040491428,0.064192504,0.058822144,0.126126423,0.098579288,0.059230715,0.363908112,-0.325421751,292,2
672799.8,1198206,Rice paddies,0.038191251,0.045186564,0.081826873,0.061050624,0.405907512,0.224658445,0.113417499,0.738517761,-0.664461374,293,2
661677.7,1231386,Rice paddies,0.037330501,0.042830501,0.071221501,0.064896502,0.284209013,0.215921,0.120314501,0.62821269,-0.599238098,294,2
659775.9,1215226,Rice paddies,0.037476249,0.046461876,0.081022501,0.079063125,0.30307126,0.205693752,0.126672506,0.586202562,-0.578110814,295,2
672924.2,1211490,Rice paddies,0.039469998,0.045816999,0.0764575,0.0620475,0.328242004,0.175677493,0.092347004,0.682043672,-0.622151732,296,2
674023.8,1208269,Rice paddies,0.047486249,0.051886249,0.076656878,0.063209377,0.361962497,0.19742313,0.113575622,0.702664316,-0.650462866,297,2
671985.2,1180902,Rice paddies,0.023025,0.032368124,0.063453436,0.052996561,0.084267497,0.045819063,0.02779625,0.227815911,-0.140901223,298,2
701190.2,1194205,Rice paddies,0.039096002,0.046317499,0.072671667,0.063517831,0.253650993,0.166536495,0.088592336,0.599469841,-0.554602385,299,2
659014.0,1216920,Rice paddies,0.038479999,0.051284,0.0948935,0.084987998,0.222081006,0.166591495,0.1028575,0.446456671,-0.401254654,300,2
661080.4,1228076,Cropland,0.028580001,0.034421001,0.059160002,0.056398999,0.254640996,0.199899495,0.1101835,0.637352109,-0.622945786,301,3
